timeElapsed,angle,buzzerOn
2.0,-2.6,0
289.0,-2.02,0
577.0,-0.67,0
864.0,-1.35,0
1152.0,-11.04,0
1441.0,-2.0,0
1728.0,0.67,0
2014.0,0.0,0
2301.0,-2.0,0
2589.0,-0.67,0
2876.0,0.0,0
3162.0,-1.33,0
3450.0,-0.67,0
3738.0,-0.67,0
4025.0,-1.32,0
4313.0,-0.67,0
4601.0,-2.05,0
4888.0,-0.67,0
5175.0,-2.66,0
5463.0,-0.66,0
5751.0,-0.67,0
6039.0,-0.66,0
6326.0,-2.02,0
6613.0,-0.68,0
6901.0,-2.02,0
7189.0,-0.67,0
7476.0,-1.3,0
7764.0,-1.97,0
8052.0,-3.9,0
8340.0,-16.04,0
8627.0,-22.83,0
8916.0,-23.2,0
9205.0,-24.1,0
9494.0,-23.47,0
9782.0,-34.93,0
10070.0,-47.86,0
10359.0,-46.47,0
10648.0,-45.48,0
10936.0,-45.0,0
11224.0,-45.48,0
11513.0,-49.4,0
11802.0,-52.43,0
12090.0,-61.65,0
12378.0,-66.71,0
12667.0,-69.44,0
12956.0,-69.44,0
13245.0,-69.29,0
13533.0,-70.3,1
13821.0,-76.95,1
14110.0,-77.76,1
14399.0,-75.96,1
14687.0,-74.51,1
14976.0,-79.99,1
15265.0,-77.91,1
15553.0,-76.95,1
15841.0,-78.15,1
16130.0,-74.86,1
16419.0,-62.21,0
16708.0,-49.76,0
16995.0,-44.51,0
17284.0,-29.9,0
17573.0,-18.85,0
17862.0,-10.01,0
18151.0,-2.0,0
18437.0,0.0,0
18724.0,-1.33,0
19012.0,-0.68,0
19299.0,0.0,0
19585.0,0.0,0
19872.0,-0.67,0
20160.0,-2.07,0
20447.0,-9.93,0
20735.0,-8.04,0
21023.0,-3.33,0
21310.0,-1.32,0
21597.0,0.0,0
21884.0,0.0,0
22171.0,-3.33,0
22458.0,-1.33,0
22745.0,-2.02,0
23033.0,0.0,0
23320.0,-0.69,0
23607.0,-5.84,0
23895.0,-16.13,0
24184.0,-30.85,0
24472.0,-67.89,0
24760.0,-60.75,0
25049.0,-67.83,0
25338.0,-78.56,1
25627.0,-87.31,1
25914.0,-88.65,1
26203.0,-90.0,1
26492.0,-87.37,1
26781.0,-87.31,1
27069.0,-67.17,1
27356.0,-44.08,0
27645.0,-29.48,0
27934.0,-16.43,0
28223.0,-8.8,0
28510.0,-1.3,0
28797.0,-0.66,0
29085.0,0.0,0
29372.0,2.05,0
29658.0,-5.14,0
29946.0,-13.05,0
30234.0,-11.31,0
30522.0,-3.95,0
30810.0,-2.05,0
31098.0,-1.33,0
